%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1450008997543939083,2000,1450008997449780636,/camera1,basic_shapes,8,1,0,0.0455692163795,0.0836030483292,0.61666350634,0.0232011054622,0.999630605255,0.000261396952913,0.0141525055732,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008997643104741,2001,1450008997539101655,/camera1,basic_shapes,8,1,0,0.0456104490813,0.0837480382728,0.61733265004,0.0222583583346,0.999665423855,0.000207436737429,0.0131743236107,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008997745875294,2002,1450008997646477962,/camera1,basic_shapes,8,1,0,0.0455964440325,0.0836261970942,0.61704528324,0.0230340314091,0.999633916856,0.000340906987368,0.0141897657126,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008997843322839,2003,1450008997691417990,/camera1,basic_shapes,8,1,0,0.0455228476272,0.0835054239519,0.615917486139,0.0229172625001,0.999539902723,0.00958649641198,0.017403477566,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008997943917977,2004,1450008997841980955,/camera1,basic_shapes,8,1,0,0.0455034085607,0.0834483382286,0.615897838017,0.0235217242125,0.99954331798,0.00351230764109,0.0186426303703,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998043279449,2005,1450008997922436740,/camera1,basic_shapes,8,1,0,0.0453190646361,0.0832118070279,0.615712842367,0.0245902463896,0.985500043388,-0.147839623506,-0.0795514298131,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998144775842,2006,1450008998073286924,/camera1,basic_shapes,8,1,0,0.0456134690667,0.0835700797785,0.618101951307,0.0206940135939,0.988193051173,-0.145508864049,-0.0432830439958,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998248181357,2007,1450008998172903189,/camera1,basic_shapes,8,1,0,0.0453319496117,0.0831695108979,0.615393008964,0.0257685905889,0.98522185772,-0.146641416978,-0.0846768305728,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998344773675,2008,1450008998205057200,/camera1,basic_shapes,8,1,0,0.045558545021,0.0835857775211,0.61672181346,0.0230811540462,0.99963338858,0.00195622998281,0.0140186278655,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998442939085,2009,1450008998319195283,/camera1,basic_shapes,8,1,0,0.0456632499136,0.0837170467604,0.61784990754,0.0228973573884,0.999682421362,-0.00180105695701,0.0103693605133,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998543548371,2010,1450008998481012433,/camera1,basic_shapes,8,1,0,0.0456522500279,0.0837456346322,0.617939824196,0.0227251070569,0.999714303804,-0.000868427166775,0.00735704515569,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008998643215598,2011,1450008998508137310,/camera1,basic_shapes,8,1,0,0.0456034967211,0.0835884583767,0.616803585335,0.0230957728127,0.999666287754,0.0047350119288,0.010558317525,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
